Region,Democrats,Republicans,Total,States Included
Mountain,12,19,31, NM
South Central,17,60,77, AR
South Atlantic,23,52,75, WV
New England,20,1,21, VT
South Atlantic,23,52,75,FL
Mountain,12,19,31, CO
Great Lakes,25,40,65, IN
Mountain,12,19,31, WY
Mountain,12,19,31, UT
Midwest,8,21,29, MO
South Central,17,60,77, KY
Mountain,12,19,31,AZ
South Atlantic,23,52,75, SC
Pacific,51,20,71, CA
South Central,17,60,77, TX
Midwest,8,21,29, NE
Mid-Atlantic,38,28,66, MD
New England,20,1,21, MA
Midwest,8,21,29, ND
Pacific,51,20,71, OR
Pacific,51,20,71, HI
Midwest,8,21,29, MN
Mid-Atlantic,38,28,66, NJ
South Central,17,60,77, OK
South Atlantic,23,52,75, VA
Pacific,51,20,71,AK
New England,20,1,21, NH
Great Lakes,25,40,65, IL
Midwest,8,21,29, KS
New England,20,1,21, ME
Mid-Atlantic,38,28,66, PA
Mountain,12,19,31, ID
Great Lakes,25,40,65, OH
Mid-Atlantic,38,28,66,DE
