Existing Industry Rank,NAICS Title,Occupation Rank,SOC Title,SOC Code,Minimum Education Level,Work Experience,On-the-Job Training,2014 Average Hourly  Wage,Projected Annual Growth Rate (2012-2022)
1.0,NAICS 621 Ambulatory health care services,1,Physician assistants,29-1071,0,0,0,60.02,0.04918
4.0,NAICS 441 Motor vehicle and parts dealers,4,Parts Salespersons,41-2022,Less than high school,0,1,14.0,0.013696000000000002
1.0,NAICS 621 Ambulatory health care services,2,Nurse practitioners,29-1171,0,0,0,51.34,0.038174
1.0,NAICS 621 Ambulatory health care services,3,Physical Therapists,29-1123,Doctoral or professional degree,0,0,41.03,0.036735000000000004
2.0,NAICS 611 Educational services,3,Instructional Coordinators,25-9031,0,1,0,23.22,0.023834
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",3,First-Line Supervisors of Non-Retail Sales Workers,41-1012,1,2,0,25.53,0.026087
4.0,NAICS 441 Motor vehicle and parts dealers,1,0,0,2,2,0,41.48,0.012811000000000001
2.0,NAICS 611 Educational services,1,"Education administrators, postsecondary",Nov-33,0,1,0,39.87,0.023383
4.0,NAICS 441 Motor vehicle and parts dealers,4,First-Line Supervisors of Retail Sales Workers,41-1011,1,2,0,18.89,0.012805
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",2,Heavy and Tractor-Trailer Truck Drivers,53-3032,Postsecondary non-degree award,0,Short-term on-the-job training,17.84,0.027999999999999997
2.0,NAICS 611 Educational services,2,0,0,2,2,0,41.48,0.023908000000000002
4.0,NAICS 441 Motor vehicle and parts dealers,2,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1011,1,2,0,24.81,0.013375999999999999
1.0,NAICS 621 Ambulatory health care services,5,Registered Nurses,29-1141,Associate's degree,0,0,34.84,0.030680000000000002
1.0,NAICS 621 Ambulatory health care services,4,Medical Secretaries,43-6013,1,0,1,16.27,0.040372000000000005
4.0,NAICS 441 Motor vehicle and parts dealers,3,1,1,1,0,1,17.69,0.014286000000000002
3.0,"NAICS 424 Merchant wholesalers, nondurable goods",1,Sales Managers,Nov-22,2,2,0,62.84,0.024390000000000002
